textbox66,textbox116,textbox117,textbox118,textbox119,textbox120,textbox121,textbox129,textbox130,textbox131,textbox132,textbox133,textbox134,textbox135
Transportation,"210,379","2,814,114","4,207,612",0,972,"7,233,077",Freight Mobility Strategic Invest,0,818,"50,775",0,0,"51,593"
Public Schools,"23,905,236",0,0,0,"579,778","24,485,014",Public Schools,"23,905,236",0,0,0,"579,778","24,485,014"
Higher Education,"14,544,733",0,0,0,"167,309","14,712,042",Student Achievement Council,"750,089",0,0,0,0,"750,089"
Higher Education,"14,544,733",0,0,0,"167,309","14,712,042",University of Washington,"7,853,679",0,0,0,"24,735","7,878,414"
Higher Education,"14,544,733",0,0,0,"167,309","14,712,042",Washington State University,"1,641,165",0,0,0,"14,850","1,656,015"
Higher Education,"14,544,733",0,0,0,"167,309","14,712,042",Eastern Washington University,"317,982",0,0,0,"9,125","327,107"
Higher Education,"14,544,733",0,0,0,"167,309","14,712,042",Central Washington University,"398,746",0,0,0,"31,906","430,652"
Higher Education,"14,544,733",0,0,0,"167,309","14,712,042",The Evergreen State College,"150,533",0,0,0,"5,464","155,997"
Higher Education,"14,544,733",0,0,0,"167,309","14,712,042",Western Washington University,"392,473",0,0,0,"11,525","403,998"
Higher Education,"14,544,733",0,0,0,"167,309","14,712,042",Community/Technical College System,"3,040,066",0,0,0,"69,704","3,109,770"
Other Education,"480,679",0,0,0,"4,734","485,413",State School for the Blind,"18,550",0,0,0,156,"18,706"
Other Education,"480,679",0,0,0,"4,734","485,413",Childhood Deafness & Hearing Loss,"22,721",0,0,0,0,"22,721"
Other Education,"480,679",0,0,0,"4,734","485,413",Workforce Trng & Educ Coord Board,"59,698",0,0,0,0,"59,698"
Other Education,"480,679",0,0,0,"4,734","485,413",Department of Early Learning,"360,286",0,0,0,0,"360,286"
Other Education,"480,679",0,0,0,"4,734","485,413",Washington State Arts Commission,"5,151",0,0,0,0,"5,151"
Other Education,"480,679",0,0,0,"4,734","485,413",Washington State Historical Society,"7,592",0,0,0,"4,286","11,878"
Other Education,"480,679",0,0,0,"4,734","485,413",East Wash State Historical Society,"6,681",0,0,0,292,"6,973"
Special Appropriations,"2,893,816","1,623,811",0,0,0,"4,517,627",Bond Retirement and Interest,"2,531,900","1,623,811",0,0,0,"4,155,711"
Special Appropriations,"2,893,816","1,623,811",0,0,0,"4,517,627",Special Approps to the Governor,"146,469",0,0,0,0,"146,469"
Special Appropriations,"2,893,816","1,623,811",0,0,0,"4,517,627",State Employee Compensation Adjust,"53,947",0,0,0,0,"53,947"
Special Appropriations,"2,893,816","1,623,811",0,0,0,"4,517,627",Contributions to Retirement Systems,"161,500",0,0,0,0,"161,500"

textbox26,textbox27,textbox28,textbox29,textbox30,textbox31,textbox32
Total Budget Bill                       ,"87,328,723","4,447,097","4,207,612",0,"2,522,011","98,505,443"

textbox18,textbox19,textbox20,textbox22,textbox23,textbox24,textbox25
Appropriations in Other Legislation     ,"944,166",0,0,0,0,"944,166"

textbox7,textbox12,textbox13,textbox14,textbox15,textbox16,textbox17
Statewide Total                         ,"88,272,889","4,447,097","4,207,612",0,"2,522,011","99,449,609"

